state_ID,year,c02-emission
MT,1997,28.866997
MT,1996,26.782621
MT,1995,29.639127
MT,1994,29.983331
MT,1993,27.313834
MT,1992,29.292457
MT,1991,28.175836
MT,1990,26.958458
MT,1989,27.86372
MT,1988,27.332608
MT,1987,22.32542
MT,1986,22.511182
MT,1985,21.251864
MT,1984,19.813415
MT,1983,16.035416
MT,1982,15.567143
MT,1981,17.695882
MT,1980,19.499719
NH,2017,13.465899
NH,2016,13.680766
NH,2015,15.123994
NH,2014,14.937374
NH,2013,14.234132
NH,2012,14.483137
NH,2011,16.149663
NH,2010,16.516008
NH,2009,16.98336
NH,2008,18.668101
NH,2007,19.102591
NH,2006,19.305249
NH,2005,21.173238
NH,2004,21.831396
NH,2003,20.856555
NH,2002,17.558186
NH,2001,16.865991
NH,2000,17.408062
NH,1999,16.734046
NH,1998,16.583764
NH,1997,16.546924
NH,1996,15.291624
NH,1995,15.068882
NH,1994,14.981279
NH,1993,14.919828
NH,1992,14.43101
NH,1991,14.320767
NH,1990,14.705677
NH,1989,15.956256
NH,1988,15.743462
NH,1987,15.278765
NH,1986,14.041118
NH,1985,13.273589
NH,1984,13.080788
NH,1983,11.249699
NH,1982,11.26043
NH,1981,11.554795
NH,1980,12.841353
OH,2017,205.621802
OH,2016,206.407588
OH,2015,212.891632
OH,2014,231.666146
OH,2013,229.60122
OH,2012,215.376323
OH,2011,235.368188
OH,2010,247.141718
OH,2009,234.975715
OH,2008,259.915008
OH,2007,267.265873
OH,2006,263.301664
OH,2005,270.569076
OH,2004,262.395278
OH,2003,267.493765
OH,2002,259.4564
OH,2001,253.167102
OH,2000,263.810496
OH,1999,256.336659
OH,1998,257.195464
OH,1997,258.867004
OH,1996,263.425945
OH,1995,251.012144
OH,1994,248.657665
OH,1993,252.366544
OH,1992,247.668034
OH,1991,243.486157
OH,1990,245.006054
OH,1989,254.660466
OH,1988,254.413685
OH,1987,244.890636
OH,1986,243.012723
OH,1985,241.054875
OH,1984,241.779918
OH,1983,236.369962
OH,1982,247.335596
OH,1981,268.565407
OH,1980,275.674437
NY,2017,157.731884
NY,2016,162.789066
NY,2015,166.811529
NY,2014,168.874569
NY,2013,161.097763
NY,2012,159.462054
NY,2011,163.116861
NY,2010,172.902262
NY,2009,171.098055
NY,2008,186.854338
NY,2007,196.649602
NY,2006,189.926414
NY,2005,208.201005
NY,2004,211.841451
NY,2003,209.774076
NY,2002,199.116718
NY,2001,204.818245
NY,2000,210.476036
NY,1999,204.076694
NY,1998,202.119211
NY,1997,203.798853
NY,1996,199.389731
NY,1995,196.808733
NY,1994,191.247403
NY,1993,193.310897
NY,1992,198.021699
NY,1991,199.580663
NY,1990,207.261696
NY,1989,213.512383
NY,1988,208.526732
NY,1987,200.970679
NY,1986,190.756719
NY,1985,187.790771
NY,1984,183.121695
NY,1983,178.380431
NY,1982,195.909488
NY,1981,205.756666
NY,1980,222.898641
NC,2017,115.76748
NC,2016,120.223562
NC,2015,120.778524
NC,2014,127.166822
NC,2013,124.754022
NC,2012,121.121485
NC,2011,128.448246
NC,2010,142.875166
NC,2009,132.836901
NC,2008,149.094737
NC,2007,154.355358
NC,2006,148.433499
NC,2005,153.883337
NC,2004,149.530963
NC,2003,146.440142
NC,2002,145.139314
NC,2001,143.530685
NC,2000,148.489334
NC,1999,140.46096
NC,1998,141.980728
NC,1997,142.658835
NC,1996,140.29274
NC,1995,128.367468
NC,1994,121.995554
NC,1993,126.773258
NC,1992,121.151134
NC,1991,110.899233
NC,1990,111.067855
NC,1989,114.94421
NC,1988,110.888763
NC,1987,106.744841
NC,1986,111.616968
NC,1985,106.357921
NC,1984,108.371612
NC,1983,106.89275
NC,1982,107.204659
NC,1981,111.154113
NC,1980,111.60547
NJ,2017,101.650229
NJ,2016,110.171776
NJ,2015,111.01751
NJ,2014,112.692649
NJ,2013,106.689646
NJ,2012,103.004757
NJ,2011,113.522949
NJ,2010,113.245133
NJ,2009,108.977391
NJ,2008,126.005889
NJ,2007,128.242545
NJ,2006,120.643554
NJ,2005,127.670688
NJ,2004,122.864205
NJ,2003,120.4382
NJ,2002,119.119815
NJ,2001,119.156094
NJ,2000,121.723896
NJ,1999,121.969848
NJ,1998,118.079785
NJ,1997,122.298396
NJ,1996,120.782973
NJ,1995,121.611401
NJ,1994,122.177885
NJ,1993,112.369479
NJ,1992,115.943239
NJ,1991,109.523428
NJ,1990,108.437564
NJ,1989,120.394861
NJ,1988,115.912498
NJ,1987,117.919288
NJ,1986,113.293277
NJ,1985,111.522718
NJ,1984,116.940455
NJ,1983,110.242459
NJ,1982,109.894979
NJ,1981,108.603356
NJ,1980,112.823295
IA,2017,76.792587
IA,2016,74.539731
IA,2015,77.921521
IA,2014,83.850183
IA,2013,82.819285
IA,2012,81.518444
IA,2011,87.48302
IA,2010,90.551848
IA,2009,86.061126
IA,2008,91.029089
IA,2007,87.263684
IA,2006,82.033778
IA,2005,80.670544
IA,2004,80.574214
IA,2003,78.593493
IA,2002,79.018235
IA,2001,78.325939
IA,2000,79.395008
IA,1999,78.360363
IA,1998,77.266982
IA,1997,73.442971
IA,1996,74.150549
IA,1995,72.226015
IA,1994,68.658163
IA,1993,67.597088
IA,1992,63.523615
IA,1991,64.969537
IA,1990,62.932459
IA,1989,61.715803
IA,1988,61.576074
IA,1987,57.468231
IA,1986,55.952893
IA,1985,57.315966
IA,1984,56.144153
IA,1983,56.033948
IA,1982,57.226911
IA,1981,58.072911
IA,1980,59.006861
MS,2017,67.801279
MS,2016,68.480787
MS,2015,64.900238
MS,2014,63.662419
MS,2013,60.328756
MS,2012,62.050484
MS,2011,60.225452
